					
#					
#	POINT	1	[pressure	head	cm]
#					
#					
#					
#	Obs	Obs	Obs		
3220	-15.4	-17.5		62.39476477	
3220	-15.6	-17.6		62.50088433	
3230	-15.7	-17.6		62.60700389	
3230	-15.7	-17.3		62.71312345	
3240	-15.4	-17.2		62.81924301	
3240	-15.2	-17.2		62.92536258	
3250	-15.2	-17.2		63.03148214	
3250	-15.2	-17.2		63.1376017	
3260	-15.1	-17.2		63.24372126	
3260	-15.3	-17.2		63.34984082	
3270	-15.3	-17.4		63.45596038	
3270	-15.4	-17.6		63.56207994	
3280	-15.5	-17.4		63.6681995	
3280	-15.4	-17.2		63.77431907	
3290	-15.1	-17.2		63.88043863	
3290	-15.1	-17.1		63.98655819	
3300	-14.8	-17.1		64.09267775	
3300	-15.1	-17.2		64.19879731	
3310	-15.1	-17.2		64.30491687	
3310	-15.1	-17.3		64.41103643	
3320	-15.2	-17.4		64.517156	
3320	-15.3	-17.4		64.62327556	
3330	-15.4	-17.2		64.72939512	
3330	-15.1	-17.1		64.83551468	
3340	-15	-17.1		64.94163424	
3340	-14.9	-17.1		65.0477538	
3350	-15	-17.1		65.15387336	
3350	-14.9	-17.1		65.25999293	
3360	-15	-17.1		65.36611249	
3360	-15	-17.2		65.47223205	
3370	-15	-17.4		65.57835161	
3370	-15.3	-17.2		65.68447117	
3380	-15	-19.2		65.79059073	
3380	-16	-20.7		65.89671029	
3390	-18.2	-14.1		66.00282985	
3390	-14.8	-18.2		66.10894942	
3400	-16.1	-18.4		66.21506898	
3400	-16.2	-18.4		66.32118854	
3410	-16	-18.4		66.4273081	
3410	-16.2	-18.6		66.53342766	
3420	-16.4	-18.6		66.63954722	
3420	-16.4	-18.3		66.74566678	
3430	-15.9	-18.2		66.85178635	
3430	-16	-18.2		66.95790591	
3440	-15.8	-18.2		67.06402547	
3440	-15.9	-18.2		67.17014503	
3450	-15.9	-18.2		67.27626459	
3450	-15.9	-18.3		67.38238415	
3460	-16	-18.6		67.48850371	
3460	-16.3	-18.8		67.59462328	
3470	-16.4	-18.5		67.70074284	
3470	-16.1	-18.3		67.8068624	
3480	-16	-18.4		67.91298196	
3480	-16.1	-18.3		68.01910152	
3490	-16.1	-18.3		68.12522108	
3490	-16.2	-18.4		68.23134064	
3500	-16.2	-18.5		68.33746021	
3500	-16.6	-18.8		68.44357977	
